Year,Month,Day,Hour,Min,Sec,Msec,P02S ECG,P02S G1,P02S G2,P02S G3
2018,11,27,18,24,32,424,-244.20833587646484,,,
2018,11,27,18,24,32,428,-244.2169189453125,5693.0,7781.0,4294964337.0
2018,11,27,18,24,32,432,-244.2169189453125,,,
2018,11,27,18,24,32,436,-244.2483901977539,,,
2018,11,27,18,24,32,440,-244.25697326660156,,,
2018,11,27,18,24,32,444,-244.21977996826172,,,
2018,11,27,18,24,32,448,-244.25697326660156,5713.0,7938.0,4294964317.0
2018,11,27,18,24,32,452,-243.99089813232422,,,
2018,11,27,18,24,32,456,-243.93081665039062,,,
2018,11,27,18,24,32,460,-244.07672882080078,,,
2018,11,27,18,24,32,463,-244.1082000732422,,,
2018,11,27,18,24,32,467,-244.0481185913086,5733.0,7918.0,4294964298.0
2018,11,27,18,24,32,471,-244.11964416503906,,,
2018,11,27,18,24,32,475,-244.14825439453125,,,
2018,11,27,18,24,32,479,-244.22550201416016,,,
2018,11,27,18,24,32,483,-244.20833587646484,,,
2018,11,27,18,24,32,487,-244.2626953125,5713.0,7918.0,4294964317.0
2018,11,27,18,24,32,491,-244.35710906982422,,,
2018,11,27,18,24,32,495,-244.2941665649414,,,
2018,11,27,18,24,32,499,-244.16828155517578,,,
2018,11,27,18,24,32,503,-244.25411224365234,,,
2018,11,27,18,24,32,506,-244.13681030273438,5693.0,7977.0,4294964258.0
2018,11,27,18,24,32,510,-244.10247802734375,,,
2018,11,27,18,24,32,514,-244.0023422241211,,,
2018,11,27,18,24,32,518,-244.03667449951172,,,
2018,11,27,18,24,32,522,-244.04525756835938,,,
2018,11,27,18,24,32,526,-243.83926391601562,5713.0,7957.0,4294964258.0
2018,11,27,18,24,32,530,-243.5016632080078,,,
2018,11,27,18,24,32,534,-243.02101135253906,,,
2018,11,27,18,24,32,538,-243.24703216552734,,,
2018,11,27,18,24,32,542,-243.42727661132812,,,
2018,11,27,18,24,32,545,-243.6819076538086,5733.0,7938.0,4294964258.0
2018,11,27,18,24,32,549,-243.8192367553711,,,
2018,11,27,18,24,32,553,-243.85929107666016,,,
2018,11,27,18,24,32,557,-244.06814575195312,,,
2018,11,27,18,24,32,561,-244.20547485351562,,,
2018,11,27,18,24,32,565,-244.1082000732422,5693.0,8016.0,4294964298.0
2018,11,27,18,24,32,569,-244.4629669189453,,,
2018,11,27,18,24,32,573,-244.57454681396484,,,
2018,11,27,18,24,32,577,-244.57168579101562,,,
2018,11,27,18,24,32,581,-244.26555633544922,,,
2018,11,27,18,24,32,585,-244.36569213867188,5644.0,7938.0,4294964356.0
2018,11,27,18,24,32,588,-244.3857192993164,,,
2018,11,27,18,24,32,592,-244.51446533203125,,,
2018,11,27,18,24,32,596,-244.58026885986328,,,
2018,11,27,18,24,32,600,-244.60601806640625,,,
2018,11,27,18,24,32,604,-244.6146011352539,5605.0,7840.0,4294964337.0
2018,11,27,18,24,32,608,-244.4000244140625,,,
2018,11,27,18,24,32,612,-244.4000244140625,,,
2018,11,27,18,24,32,616,-244.44580078125,,,
2018,11,27,18,24,32,620,-244.5545196533203,,,
2018,11,27,18,24,32,624,-244.50302124023438,5644.0,7800.0,4294964278.0
2018,11,27,18,24,32,628,-244.51732635498047,,,
2018,11,27,18,24,32,631,-244.6432113647461,,,
2018,11,27,18,24,32,635,-244.63176727294922,,,
2018,11,27,18,24,32,639,-244.5058822631836,,,
2018,11,27,18,24,32,643,-243.65901947021484,5625.0,7800.0,4294964337.0
2018,11,27,18,24,32,647,-241.52183532714844,,,
2018,11,27,18,24,32,651,-239.1500473022461,,,
2018,11,27,18,24,32,655,-236.3605499267578,,,
2018,11,27,18,24,32,659,-233.02459716796875,,,
2018,11,27,18,24,32,663,-226.78470611572266,5586.0,7820.0,4294964396.0
2018,11,27,18,24,32,667,-223.95801544189453,,,
2018,11,27,18,24,32,670,-227.13661193847656,,,
2018,11,27,18,24,32,674,-233.92868041992188,,,
2018,11,27,18,24,32,678,-239.12715911865234,,,
2018,11,27,18,24,32,682,-243.0095672607422,,,
2018,11,27,18,24,32,686,-249.2523193359375,,,
2018,11,27,18,24,32,690,-250.02479553222656,,,
2018,11,27,18,24,32,694,-247.3125457763672,,,
2018,11,27,18,24,32,698,-244.5058822631836,,,
2018,11,27,18,24,32,702,-243.80207061767578,,,
2018,11,27,18,24,32,706,-243.53313446044922,,,
2018,11,27,18,24,32,710,-243.62754821777344,,,
2018,11,27,18,24,32,713,-244.0481185913086,,,
2018,11,27,18,24,32,717,-244.2169189453125,,,
2018,11,27,18,24,32,721,-244.1082000732422,7859.0,4294964464.0,5488.0
2018,11,27,18,24,32,725,-244.06814575195312,,,
2018,11,27,18,24,32,729,-244.10247802734375,,,
2018,11,27,18,24,32,733,-244.0195083618164,,,
2018,11,27,18,24,32,737,-244.02523040771484,,,
2018,11,27,18,24,32,741,-243.93081665039062,7693.0,4294964562.0,5262.0
2018,11,27,18,24,32,745,-243.77918243408203,,,
2018,11,27,18,24,32,749,-243.82781982421875,,,
2018,11,27,18,24,32,753,-243.61038208007812,,,
2018,11,27,18,24,32,756,-243.67046356201172,,,
2018,11,27,18,24,32,760,-243.61324310302734,7653.0,4294964278.0,5605.0
2018,11,27,18,24,32,764,-243.56746673583984,,,
2018,11,27,18,24,32,768,-243.42727661132812,,,
2018,11,27,18,24,32,772,-243.41297149658203,,,
2018,11,27,18,24,32,776,-243.16120147705078,,,
2018,11,27,18,24,32,780,-243.10684204101562,7938.0,4294964621.0,5684.0
2018,11,27,18,24,32,784,-243.1325912475586,,,
2018,11,27,18,24,32,788,-242.88654327392578,,,
2018,11,27,18,24,32,792,-242.7835464477539,,,
2018,11,27,18,24,32,795,-242.7234649658203,,,
2018,11,27,18,24,32,799,-242.5832748413086,7820.0,4294964523.0,5488.0
2018,11,27,18,24,32,803,-242.52605438232422,,,
2018,11,27,18,24,32,807,-242.37728118896484,,,
2018,11,27,18,24,32,811,-242.2313690185547,,,
2018,11,27,18,24,32,815,-241.99390411376953,,,
2018,11,27,18,24,32,819,-241.8994903564453,7761.0,4294964582.0,5448.0
2018,11,27,18,24,32,823,-241.8994903564453,,,
2018,11,27,18,24,32,827,-241.78504943847656,,,
2018,11,27,18,24,32,831,-241.67919158935547,,,
2018,11,27,18,24,32,835,-241.82796478271484,,,
2018,11,27,18,24,32,838,-242.18273162841797,7800.0,4294964543.0,5350.0
2018,11,27,18,24,32,842,-241.8966293334961,,,
2018,11,27,18,24,32,846,-241.78791046142578,,,
2018,11,27,18,24,32,850,-241.64199829101562,,,
2018,11,27,18,24,32,854,-241.6677474975586,,,
2018,11,27,18,24,32,858,-241.7278289794922,7575.0,4294964699.0,5929.0
2018,11,27,18,24,32,862,-241.71066284179688,,,
2018,11,27,18,24,32,866,-241.83368682861328,,,
2018,11,27,18,24,32,870,-242.01393127441406,,,
2018,11,27,18,24,32,874,-242.12265014648438,,,
2018,11,27,18,24,32,878,-242.31433868408203,8094.0,4294964984.0,6066.0
2018,11,27,18,24,32,881,-242.52605438232422,,,
2018,11,27,18,24,32,885,-242.59185791015625,,,
2018,11,27,18,24,32,889,-242.8722381591797,,,
2018,11,27,18,24,32,893,-242.8579330444336,,,
2018,11,27,18,24,32,897,-242.94090270996094,8741.0,4294964337.0,6085.0
2018,11,27,18,24,32,901,-242.57183074951172,,,
2018,11,27,18,24,32,905,-242.8150177001953,,,
2018,11,27,18,24,32,909,-242.99240112304688,,,
2018,11,27,18,24,32,913,-243.12973022460938,,,
2018,11,27,18,24,32,917,-243.12686920166016,9221.0,4294964239.0,6105.0
2018,11,27,18,24,32,920,-243.11256408691406,,,
2018,11,27,18,24,32,924,-243.02387237548828,,,
2018,11,27,18,24,32,928,-243.1468963623047,,,
2018,11,27,18,24,32,932,-243.01815032958984,,,
